Name_En,Acronym,Name_Bn,University_Acronym,University
Sir Salimullah Medical College Dental Unit,SSMC,স্যার সলিমুল্লাহ মেডিকেল কলেজ ডেন্টাল ইউনিট,DU,Dhaka University
Shaheed Suhrawardy Medical College Dental Unit,SShMC,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ ডেন্টাল ইউনিট,DU,Dhaka University
Mymensingh Medical College Dental Unit,MMC,ময়মনসিংহ মেডিকেল কলেজ ডেন্টাল ইউনিট,DU,Dhaka University
"MAG Osmani Medical College Dental Unit, Sylhet",SOMC,"এমএজি ওসমানী মেডিকেল কলেজ ডেন্টাল ইউনিট, সিলেট",SMU,Sylhet Medical University
"Sher-e-Bangla Medical College Dental Unit, Barishal",SBMC,"শের-এ-বাংলা মেডিকেল কলেজ ডেন্টাল ইউনিট, বরিশাল",DU,Dhaka University
Rangpur Medical College Dental Unit,RpMC,রংপুর মেডিকেল কলেজ ডেন্টাল ইউনিট,RMU,Rajshahi University
"Update Dental College, Dhaka",UpDC,"আপডেট ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"TMSS Medical College Dental Unit, Bogura",TMCDU,"টিএমএসএস মেডিকেল কলেজ ডেন্টাল ইউনিট, বগুড়া",RMU,Rajshahi University
University Dental College and Hospital,UDCH,ইউনিভার্সিটি ডেন্টাল কলেজ অ্যান্ড হসপিটাল,DU,Dhaka University
"Pioneer Dental College, Dhaka",PDC,"পায়োনিয়ার ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"Chattagram International Dental College, Chittagong",CIDC,"চট্টগ্রাম ইন্টারন্যাশনাল ডেন্টাল কলেজ, চট্টগ্রাম",CMU,Chittagong University
"Sapporo Dental College, Dhaka",SDC,"সাপ্পোরো ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"City Dental College, Dhaka",CDC,"সিটি ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
Rangpur Dental College,RDC,রংপুর ডেন্টাল কলেজ,RMU,Rajshahi University
"Bangladesh Dental College, Dhaka",BDC,"বাংলাদেশ ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"Marks Dental College, Dhaka",MDC,"মার্কস ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"Saphena Women's Dental College, Dhaka",SWDC,"সাফেনা উইমেন্স ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"Mandy Dental College, Dhaka",MDC,"মেন্ডি ডেন্টাল কলেজ, ঢাকা",DU,Dhaka University
"Udayan Dental College, Rajshahi",UdDC,"উদয়ন ডেন্টাল কলেজ, রাজশাহী",RMU,Rajshahi University
"MH Samorita Medical College & Dental Unit, Dhaka",MHSMCDU,"এমএইচ শমরিতা মেডিকেল কলেজ অ্যান্ড ডেন্টাল ইউনিট, ঢাকা",DU,Dhaka University
"Kumudini Women's Medical College, Dental Unit, Tangail",KWMCDU,"কুমুদিনী মহিলা মেডিকেল কলেজ, ডেন্টাল ইউনিট, টাঙ্গাইল",DU,Dhaka University
Holy Family Red Crescent Medical College Dental Unit,HFRCMCDU,হলি ফ্যামিলি রেড ক্রিসেন্ট মেডিকেল কলেজ ডেন্টাল ইউনিট,DU,Dhaka University
"Gonoshasthaya Samajvittik Samaj Vittik Dental College, Savar",GSVMCDU,"গণস্বাস্থ্য সমাজভিত্তিক ডেন্টাল কলেজ, সাভার",DU,Dhaka University
